1:9,5,4,5,5,2,1,1,4,6,1,4,3,8,9,1,1,1,5,3,8,5,4,7,3,8,4,9,5,1
2:1,4,6,2,3,4,9,9,7,6,8,3,6,8,9,3,7,7,8,3,8,7,9,2,3,9,4,5,8,3
3:2,2,2,5,6,3,6,1,5,9,8,8,9,1,1,5,2,4,1,9,5,8,5,6,6,8,4,4,6,2
4:1,9,1,5,9,5,6,2,2,1,8,3,7,8,5,5,9,7,6,5,5,6,4,4,7,6,8,6,1,6
5:5,8,7,5,4,2,2,6,1,1,8,6,5,8,3,6,3,6,7,3,8,7,2,1,4,4,8,5,7,7
6:5,4,7,9,5,7,4,6,5,6,2,3,7,1,2,5,2,9,5,4,9,9,3,5,8,8,7,5,8,7
7:4,3,6,5,6,6,8,3,9,6,1,1,2,8,3,7,4,1,2,9,9,5,8,5,8,9,4,6,2,6
8:7,7,2,1,4,1,9,2,5,3,9,6,9,7,9,6,7,8,8,6,7,8,2,7,8,7,6,2,6,5
9:1,5,9,7,9,6,2,6,1,5,3,3,3,1,8,4,3,8,2,1,8,2,4,9,6,2,7,5,4,4
10:2,7,3,2,7,9,4,9,1,2,3,4,2,6,5,4,4,7,4,5,8,9,9,3,2,6,2,5,8,1
11:7,4,7,6,2,6,9,4,3,7,5,1,8,8,7,4,3,4,4,1,4,6,4,3,3,9,7,4,5,2
12:5,7,8,1,5,5,8,7,3,3,3,1,1,4,1,4,7,6,5,8,9,4,7,8,9,6,8,4,3,5
13:2,9,6,8,1,7,4,4,4,4,7,4,4,1,4,8,2,9,6,6,7,1,1,6,4,9,1,9,9,3
14:9,5,6,8,7,2,4,9,3,8,8,6,5,8,2,3,3,3,8,4,2,5,6,9,9,7,2,1,7,6
15:6,2,7,4,4,4,7,4,2,8,8,9,5,6,9,8,4,4,7,9,9,4,5,3,4,2,9,2,9,3
16:7,7,9,3,7,5,3,8,5,9,6,8,8,9,7,2,6,1,7,6,2,5,9,9,2,2,3,8,1,7
17:3,7,1,3,9,4,7,6,1,5,3,3,6,8,4,9,8,7,7,8,6,4,3,3,5,2,8,5,3,3
